match_id,date,league_code,season,group_id,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,model,cutoff,p_home,p_draw,p_away
4036903,2026-05-30,VL,2026,1,IF Gnistan,SEINÄJOEN JALKAPALLOKERHO,60534,60970,3,2,H,poisson_plain,2026-05-25,0.2606580261699814,0.2025592233121598,0.5367827505178587
4057693,2026-05-31,M2,2026,1,Lahden Reipas,Atlantis FC Edustus,61562,60702,1,0,H,poisson_plain,2026-05-25,0.6282960431131288,0.14024147188361505,0.23146248500325622
4057873,2026-05-31,M2,2026,3,Idrottsföreningen Kraft,Tornion Pallo-47,60686,60666,1,2,A,poisson_plain,2026-05-25,0.5607864732679211,0.17192730141409993,0.2672862253179791
4057692,2026-05-31,M2,2026,1,Helsingin Palloseura,Pallo-Pojat Juniorit,49949,48924,2,2,D,poisson_plain,2026-05-25,0.4038887898505228,0.24223680188425792,0.3538744082652193
4038207,2026-05-31,NL,2026,1,IF Gnistan,Åland United,35209545,60532,1,4,A,poisson_plain,2026-05-25,0.33116764213498107,0.18383043883944417,0.48500191902557477
4036905,2026-05-31,VL,2026,1,Oulun edustusjalkapallo AC Oulu,Fotbollsföreningen JARO Jalkapalloseura,60493,60974,2,1,H,poisson_plain,2026-05-25,0.4417278751064713,0.2513605958300316,0.30691152906349706
4038087,2026-05-31,M1L,2026,1,Mikkelin Palloilijat,Ekenäs Idrottsförening,60494,60495,1,0,H,poisson_plain,2026-05-25,0.2978293589029356,0.2662694189632559,0.43590122213380855
4038086,2026-05-31,M1L,2026,1,Pallokerho-35,Helsingin Jalkapalloklubi,50775,60692,1,1,D,poisson_plain,2026-05-25,0.48602645523820637,0.26569855095200795,0.24827499380978563
4038208,2026-05-31,NL,2026,1,PK-35 Vantaa,Ilves,60671,60776,0,2,A,poisson_plain,2026-05-25,0.4848600819944381,0.20111627109960079,0.3140236469059612
4057869,2026-05-27,M2,2026,3,SJK Akatemia,Jalkapalloseura Hercules,131834,61004,3,0,H,dc_best,2026-05-25,0.5874338987241028,0.1715635063892691,0.24100259488662817
