league_code,date,week,hg,ag,lam_h,lam_a
NO-PN1,2025-09-06,2025-09-01/2025-09-07,0,4,1.3211404952404293,1.6771757281959907
NO-PN1,2025-09-06,2025-09-01/2025-09-07,2,2,1.6335466756169335,1.217249705775832
M2,2025-09-06,2025-09-01/2025-09-07,1,0,2.795657074819484,1.6179195086085556
SW-EE,2025-09-06,2025-09-01/2025-09-07,1,1,0.809176960314568,2.733431346246908
M2,2025-09-06,2025-09-01/2025-09-07,0,4,1.2806684250189797,2.85056657560151
SW-ES,2025-09-06,2025-09-01/2025-09-07,1,1,1.6611808942828838,1.0317448439503072
SW-DA,2025-09-06,2025-09-01/2025-09-07,1,1,3.0459058945818067,0.9836885284654451
NO-TS,2025-09-06,2025-09-01/2025-09-07,3,0,3.2255332148795657,0.21576994136000763
SW-EN,2025-09-06,2025-09-01/2025-09-07,2,1,2.1629486503728996,1.2259303159795956
SW-DA,2025-09-06,2025-09-01/2025-09-07,2,1,2.503439611046988,1.1086301398665845
M1L,2025-09-06,2025-09-01/2025-09-07,1,2,0.544824660801124,1.6347516595683593
M1L,2025-09-06,2025-09-01/2025-09-07,1,0,1.0951258943864939,1.3897911616953
NO-PN2,2025-09-06,2025-09-01/2025-09-07,5,1,1.8675685804752786,1.3376384207787264
NO-TS,2025-09-06,2025-09-01/2025-09-07,1,1,2.346458722754941,0.6265194008225845
SW-DA,2025-09-06,2025-09-01/2025-09-07,0,1,1.67076491938308,0.9090098407766112
SW-DA,2025-09-06,2025-09-01/2025-09-07,2,1,1.7183929610038375,1.3643573943209009
SW-ES,2025-09-06,2025-09-01/2025-09-07,1,3,1.25169426339254,1.368018309269672
SW-ES,2025-09-06,2025-09-01/2025-09-07,2,1,1.341180277279842,1.6010309320381453
SW-EN,2025-09-06,2025-09-01/2025-09-07,3,1,2.4491335812967,1.2169063743046973
SW-EN,2025-09-06,2025-09-01/2025-09-07,2,0,2.200886992626765,1.60660259300824
SW-DA,2025-09-06,2025-09-01/2025-09-07,5,1,2.815758481499103,0.7177189121106189
