match_id,league_code,country,date,hg,ag,lam_h,lam_a,rho,known
4036900,VL,FIN,2026-05-30,1,0,2.392003709632895,0.8054422913770383,-0.11498932484651815,True
6538020,SW-ES,SWE,2026-05-30,1,2,1.0499700904467788,0.633323646240626,-0.10666717993425087,True
6538018,SW-ES,SWE,2026-05-30,3,0,3.1642948707790275,0.7467689676932281,-0.10666717993425087,True
6529901,SW-AL,SWE,2026-05-30,0,3,1.3269915400868604,1.905614481474999,-0.024816161569286052,True
6538013,SW-ES,SWE,2026-05-30,4,2,2.7352553857881423,1.0336869995286195,-0.10666717993425087,True
6538017,SW-ES,SWE,2026-05-30,3,3,1.3137251577594373,1.8206735229180724,-0.10666717993425087,True
6536387,SW-EE,SWE,2026-05-30,0,2,1.6840533927885797,1.3073627727206474,0.022401001475508383,True
6536386,SW-EE,SWE,2026-05-30,0,0,0.8377013896928392,2.343093444163282,0.022401001475508383,True
206107-8-fyllingsdalen,NO-1DK,NOR,2026-05-30,1,5,1.1665946845859252,2.945960436658109,-0.2523843202514667,True
206119-9-rosenborg-bk,NO-TS,NOR,2026-05-30,0,1,2.1325501809346243,0.8908566041512042,-0.16232146440586404,True
6529906,SW-AL,SWE,2026-05-30,5,2,1.9720946867490396,0.8524908627416693,-0.024816161569286052,True
6536384,SW-EE,SWE,2026-05-30,2,1,3.3493013149838875,0.6953673573951363,0.022401001475508383,True
206119-9-haugesund,NO-TS,NOR,2026-05-30,2,1,1.73626902968533,1.060718745418233,-0.16232146440586404,True
6537776,SW-EN,SWE,2026-05-30,0,0,1.521991800090721,0.6046075864494812,-0.13910785945559376,True
206119-9-aafk-kvinner,NO-TS,NOR,2026-05-30,1,2,0.6525109285906902,1.8882642539835317,-0.16232146440586404,True
6536027,SW-SE,SWE,2026-05-30,2,1,1.5245684973844,1.8577053090598845,0.09370348040303411,True
6536030,SW-SE,SWE,2026-05-30,0,3,1.1531390056007433,1.08100531213314,0.09370348040303411,True
6536031,SW-SE,SWE,2026-05-30,2,1,2.0163656579435414,1.287265830843764,0.09370348040303411,True
6536024,SW-SE,SWE,2026-05-30,2,2,1.5022796526818696,1.3415167760542237,0.09370348040303411,True
6536028,SW-SE,SWE,2026-05-30,1,3,1.2030682506481982,1.2461215732751456,0.09370348040303411,True
6537775,SW-EN,SWE,2026-05-30,1,2,2.9625188645958183,0.9087821183305208,-0.13910785945559376,True
206093-10-kongsvinger,NO-OBOS,NOR,2026-05-31,3,1,2.6851362397706406,0.8075352843530318,-0.11937057548644583,True
206093-10-egersund,NO-OBOS,NOR,2026-05-31,0,5,1.2864629112125008,1.2924579174358095,-0.11937057548644583,True
206093-10-ranheim-tf,NO-OBOS,NOR,2026-05-31,5,1,2.4885710799310514,1.3129317361183956,-0.11937057548644583,True
206093-10-raufoss,NO-OBOS,NOR,2026-05-31,3,4,1.4391541594539545,2.4367518297760156,-0.11937057548644583,True
206093-10-str-mmen,NO-OBOS,NOR,2026-05-31,2,3,1.7777934452721076,3.3034981183816403,-0.11937057548644583,True
6536026,SW-SE,SWE,2026-05-31,0,2,2.1373046076232396,2.284056465996054,0.09370348040303411,True
206007-9-pors,NO-PN1,NOR,2026-05-31,1,0,1.3230184677189167,1.614685600817649,-0.12104698739912863,True
206007-9-arendal,NO-PN1,NOR,2026-05-31,1,1,1.0099637710722622,2.1095040054198737,-0.12104698739912863,True
206007-9-notodden,NO-PN1,NOR,2026-05-31,0,0,1.3534743085157064,1.661088339214622,-0.12104698739912863,True
206093-10-bryne,NO-OBOS,NOR,2026-05-31,1,0,1.4539862003836688,1.4350541344932581,-0.11937057548644583,True
6536029,SW-SE,SWE,2026-05-31,3,2,1.4181485259595892,0.9885763658576685,0.09370348040303411,True
6536025,SW-SE,SWE,2026-05-31,0,2,1.3439102984427704,1.5762758757277509,0.09370348040303411,True
6537777,SW-EN,SWE,2026-05-31,1,1,0.7721962682179485,1.8974692964056223,-0.13910785945559376,True
6537779,SW-EN,SWE,2026-05-31,2,2,2.8767281818956083,1.8222576050622545,-0.13910785945559376,True
206008-9-tromsdalen,NO-PN2,NOR,2026-05-31,2,0,1.5918034057689605,1.0338278865272947,0.1236653048706053,True
206008-9-rana-fk,NO-PN2,NOR,2026-05-31,3,2,1.4898773170080777,1.1357480281162848,0.1236653048706053,True
206008-9-levanger,NO-PN2,NOR,2026-05-31,3,0,1.9628314954763442,1.0803720000710522,0.1236653048706053,True
206008-9-h-nefoss-bk,NO-PN2,NOR,2026-05-31,1,1,1.8608708238244775,1.3141936811361494,0.1236653048706053,True
206008-9-grorud,NO-PN2,NOR,2026-05-31,2,1,2.744720349057445,0.8453074260022346,0.1236653048706053,True
206007-9-sandviken,NO-PN1,NOR,2026-05-31,1,0,1.0149723620271154,2.1333566102065813,-0.12104698739912863,True
6537778,SW-EN,SWE,2026-05-31,2,2,0.8724072533888423,2.2029881471854016,-0.13910785945559376,True
206107-8-arna-bj-rnar,NO-1DK,NOR,2026-05-31,1,3,1.5324204162125503,1.4709817595461354,-0.2523843202514667,True
206107-8-frigg,NO-1DK,NOR,2026-05-31,0,1,0.4985942567017415,3.1010083195765303,-0.2523843202514667,True
6529596,SW-DA,SWE,2026-05-31,3,0,2.7575745719363227,0.9613322804865557,0.3691308996028335,True
6529595,SW-DA,SWE,2026-05-31,0,3,1.15187442843252,2.5363087030513563,0.3691308996028335,True
6529597,SW-DA,SWE,2026-05-31,1,2,0.5214569169902437,2.1627189062215053,0.3691308996028335,True
206107-8-klepp,NO-1DK,NOR,2026-05-31,0,2,1.3614325846476267,3.888010162760655,-0.2523843202514667,True
206107-8-kolbotn-il-elite,NO-1DK,NOR,2026-05-31,1,1,1.2018442913974505,1.1720285496785456,-0.2523843202514667,True
6536382,SW-EE,SWE,2026-05-31,1,3,0.5249337188795811,1.567760125093199,0.022401001475508383,True
6529592,SW-DA,SWE,2026-05-31,1,2,2.4674747370193266,1.491828257239758,0.3691308996028335,True
