match_id,league_code,date,home_elo,away_elo,elo_diff,home_form5_pts,away_form5_pts,form5_pts_diff,home_mom5,away_mom5,mom5_diff,home_adj_form5,away_adj_form5,adj_form5_diff,home_sos5,away_sos5,sos5_diff,home_ppg_vs_stronger8,away_ppg_vs_stronger8,ppg_vs_stronger8_diff,home_gp,away_gp,gp_diff
4038054,M1L,2026-04-19,1478.9774716454494,1435.6058341556363,43.37163748981311,0.0,4.0,-4.0,,-5.8586357445612975,,-0.8759386814396073,-0.7004133550039187,-0.17552532643568863,1477.8759255604314,1469.9664359649814,7.909489595449941,0.0,1.1428571428571428,-1.1428571428571428,2,29,-27
4038055,M1L,2026-04-19,1485.8609174413477,1469.217045172686,16.643872268661653,9.0,6.0,3.0,17.578655484524916,-35.293095237703255,52.87175072222817,0.5639262655260059,-0.824616296191718,1.3885425617177238,1512.97229195687,1455.209386264144,57.76290569272601,1.1666666666666667,0.75,0.41666666666666674,29,29,0
4038056,M1L,2026-04-19,1468.2215765335961,1535.1907834878975,-66.9692069543014,5.0,7.0,-2.0,8.14946370533221,3.5488209491286398,4.60064275620357,-0.30636835099041115,-0.24203938943609626,-0.06432896155431489,1510.1261127041714,1509.1444325900811,0.9816801140902953,1.3333333333333333,0.0,1.3333333333333333,29,29,0
4038057,M1L,2026-04-21,1503.313909581496,1504.5872559274626,-1.2733463459665018,1.0,6.0,-5.0,,5.507076112562572,,0.13807956589567094,0.1790658983457072,-0.040986332450036245,1538.5046930693936,1509.535388847531,28.969304221862558,1.0,0.75,0.25,1,29,-28
4038058,M1L,2026-04-24,1546.9501078860462,1513.1866204265223,33.76348745952396,10.0,4.0,6.0,5.950379051682376,,,0.5980739261001441,0.549442517771761,0.048631408328383086,1485.102779610605,1523.1489506772477,-38.04617106664273,0.0,1.0,-1.0,30,2,28
4038059,M1L,2026-04-24,1459.8221097284297,1463.508892041779,-3.6867823133493403,3.0,0.0,3.0,-29.18572655285766,,,-1.4700751516973765,-1.5204628315925384,0.05038767989516191,1480.0118224192909,1463.7858950921664,16.22592732712451,0.75,0.0,0.75,30,3,27
4038060,M1L,2026-04-25,1554.1338092825235,1456.4622521354474,97.6715571470761,9.0,4.0,5.0,28.034935532004965,-19.11216482191844,47.147100353923406,0.49319630519370683,-0.7457352341147467,1.2389315393084535,1486.7221013416706,1517.1063345283178,-30.38423318664718,3.0,1.1666666666666667,1.8333333333333333,30,30,0
4038061,M1L,2026-04-25,1494.5965037834358,1495.255852885604,-0.6593491021683349,5.0,9.0,-4.0,-5.693170583729852,22.92916581688064,-28.622336400610493,-0.2878204077872699,0.568397106260515,-0.8562175140477849,1515.083287372357,1516.3325500562614,-1.2492626839043623,0.75,1.4,-0.6499999999999999,30,30,0
4038062,M1L,2026-04-25,1513.304661725523,1451.0744137593067,62.23024796621621,4.0,7.0,-3.0,,-1.3413409164236327,,0.5543609052301228,0.33109559792518406,0.22326530730493876,1521.5459744984282,1471.2965928803267,50.24938161810155,2.0,1.5714285714285714,0.4285714285714286,2,30,-28
4038063,M1L,2026-05-02,1477.437026673495,1509.248937114176,-31.811910440681004,3.0,5.0,-2.0,,,,-0.9401238886043709,0.38537237975733085,-1.3254962683617018,1462.7949487512321,1498.0554542520542,-35.26050550082209,0.0,2.0,-2.0,4,3,1
